id,ew,ns,age,SES,pf
15,-0.92668,0.55427,2,-1.1487,9.7647
15,-0.92668,0.55427,2,-1.1487,9.2439
15,-0.92668,0.55427,2,-1.1487,6.4839
16,0.87353,0.30021,8,0.19611,12.0448
16,0.87353,0.30021,8,0.19611,9.5097
16,0.87353,0.30021,8,0.19611,11.7829
17,0.51628,0.93986,8,-0.51938,10.1227
17,0.51628,0.93986,8,-0.51938,10.3671
17,0.51628,0.93986,8,-0.51938,10.0169
18,0.00587,-0.95145,7,-1.90913,8.1289
18,0.00587,-0.95145,7,-1.90913,8.8783
18,0.00587,-0.95145,7,-1.90913,7.7024
19,-0.42057,0.59075,2,0.4398,10.3462
19,-0.42057,0.59075,2,0.4398,10.5133
19,-0.42057,0.59075,2,0.4398,9.5399
20,-1.34472,1.03185,5,1.10975,11.6045
20,-1.34472,1.03185,5,1.10975,12.1504
20,-1.34472,1.03185,5,1.10975,12.3435
21,0.87879,-0.43256,5,-0.65228,9.9197
21,0.87879,-0.43256,5,-0.65228,11.128
21,0.87879,-0.43256,5,-0.65228,9.1071
22,-0.13613,1.23317,7,-0.35692,10.7083
22,-0.13613,1.23317,7,-0.35692,11.4729
22,-0.13613,1.23317,7,-0.35692,9.2755
23,0.58167,-0.14362,2,-0.00684,8.9019
23,0.58167,-0.14362,2,-0.00684,9.6757
23,0.58167,-0.14362,2,-0.00684,10.1343
24,-0.14472,0.44696,3,1.21049,12.0382
24,-0.14472,0.44696,3,1.21049,10.9308
24,-0.14472,0.44696,3,1.21049,11.7298
25,-0.97514,-0.67812,7,0.21708,11.7659
25,-0.97514,-0.67812,7,0.21708,8.8641
25,-0.97514,-0.67812,7,0.21708,10.8456
26,0.28766,-0.40345,8,0.03485,9.8352
26,0.28766,-0.40345,8,0.03485,10.7594
26,0.28766,-0.40345,8,0.03485,10.0696
27,-2.37429,-1.52209,5,0.91477,12.0508
27,-2.37429,-1.52209,5,0.91477,11.7791
27,-2.37429,-1.52209,5,0.91477,11.0036
28,1.42503,1.71163,6,1.41414,12.2083
28,1.42503,1.71163,6,1.41414,12.5444
28,1.42503,1.71163,6,1.41414,15.4833
29,0.18583,-2.04016,7,0.22283,11.4302
29,0.18583,-2.04016,7,0.22283,12.1677
29,0.18583,-2.04016,7,0.22283,10.9212
30,1.39831,0.63165,7,0.85511,11.453
30,1.39831,0.63165,7,0.85511,9.7365
30,1.39831,0.63165,7,0.85511,10.6118
31,-1.32412,2.05274,4,-0.01529,9.3079
31,-1.32412,2.05274,4,-0.01529,11.417
31,-1.32412,2.05274,4,-0.01529,10.8456
32,-0.19707,-0.65959,8,0.93275,12.3631
32,-0.19707,-0.65959,8,0.93275,11.7725
32,-0.19707,-0.65959,8,0.93275,13.1406
33,-1.34205,1.00653,2,1.74535,12.6256
33,-1.34205,1.00653,2,1.74535,9.9614
33,-1.34205,1.00653,2,1.74535,13.0137
34,-2.34651,-0.38627,4,0.92348,12.8397
34,-2.34651,-0.38627,4,0.92348,12.4139
34,-2.34651,-0.38627,4,0.92348,13.6832
35,0.34061,2.53034,4,-0.59386,9.5686
35,0.34061,2.53034,4,-0.59386,10.778
35,0.34061,2.53034,4,-0.59386,10.486
36,-1.6413,0.84994,8,1.64854,12.8852
36,-1.6413,0.84994,8,1.64854,14.1895
36,-1.6413,0.84994,8,1.64854,11.7841
37,-0.33971,0.10342,8,0.66038,10.6008
37,-0.33971,0.10342,8,0.66038,10.7863
37,-0.33971,0.10342,8,0.66038,11.7338
38,-1.68964,0.2072,6,-0.78188,9.5927
38,-1.68964,0.2072,6,-0.78188,9.7502
38,-1.68964,0.2072,6,-0.78188,9.0829
39,0.70919,0.02686,8,-0.48191,9.2232
39,0.70919,0.02686,8,-0.48191,10.5799
39,0.70919,0.02686,8,-0.48191,9.5743
40,0.44596,0.22266,4,-0.02079,10.6824
40,0.44596,0.22266,4,-0.02079,10.3172
40,0.44596,0.22266,4,-0.02079,9.933
41,0.91298,2.77327,4,-1.61465,6.5576
41,0.91298,2.77327,4,-1.61465,9.3585
41,0.91298,2.77327,4,-1.61465,10.3111
42,0.97376,0.02459,8,-0.70203,9.2251
42,0.97376,0.02459,8,-0.70203,9.1746
42,0.97376,0.02459,8,-0.70203,10.1021
43,-1.25277,1.07568,4,-0.76695,9.8139
43,-1.25277,1.07568,4,-0.76695,8.262
43,-1.25277,1.07568,4,-0.76695,9.589
44,-0.04177,-0.9131,8,0.13254,12.0763
44,-0.04177,-0.9131,8,0.13254,11.6537
44,-0.04177,-0.9131,8,0.13254,11.7791
45,0.2129,-0.54054,6,0.94071,11.9064
45,0.2129,-0.54054,6,0.94071,10.2025
45,0.2129,-0.54054,6,0.94071,11.246
46,0.89363,-2.50196,3,0.84778,11.3812
46,0.89363,-2.50196,3,0.84778,10.9456
46,0.89363,-2.50196,3,0.84778,12.4563
47,1.15001,-0.08721,8,0.40807,11.7636
47,1.15001,-0.08721,8,0.40807,10.1132
47,1.15001,-0.08721,8,0.40807,11.5271
48,-0.47493,0.78455,5,1.28879,10.6083
48,-0.47493,0.78455,5,1.28879,10.3483
48,-0.47493,0.78455,5,1.28879,12.6819
49,0.77255,0.16157,2,-0.39778,8.1426
49,0.77255,0.16157,2,-0.39778,7.7845
49,0.77255,0.16157,2,-0.39778,7.1892
50,0.10817,0.35773,7,-0.67782,10.6137
50,0.10817,0.35773,7,-0.67782,9.2889
50,0.10817,0.35773,7,-0.67782,10.5565
51,1.36997,2.19052,3,0.6553,10.8154
51,1.36997,2.19052,3,0.6553,12.4687
51,1.36997,2.19052,3,0.6553,10.4592
52,-0.687,-0.32611,8,2.23499,11.9262
52,-0.687,-0.32611,8,2.23499,13.3449
52,-0.687,-0.32611,8,2.23499,12.257
53,-1.63365,2.13967,5,-1.71697,9.4033
53,-1.63365,2.13967,5,-1.71697,10.3104
53,-1.63365,2.13967,5,-1.71697,9.4516
54,-0.7993,-0.152,7,0.41106,11.7221
54,-0.7993,-0.152,7,0.41106,10.8222
54,-0.7993,-0.152,7,0.41106,10.6699
55,-0.22549,0.1845,5,-0.2016,9.9571
55,-0.22549,0.1845,5,-0.2016,9.9987
55,-0.22549,0.1845,5,-0.2016,9.2655
56,-0.90553,0.7923,7,-0.95192,10.8407
56,-0.90553,0.7923,7,-0.95192,11.248
56,-0.90553,0.7923,7,-0.95192,9.5134
57,1.40384,-0.81562,2,2.44438,11.9725
57,1.40384,-0.81562,2,2.44438,11.8269
57,1.40384,-0.81562,2,2.44438,14.9802
58,0.41489,-0.17631,6,1.50509,10.6021
58,0.41489,-0.17631,6,1.50509,13.5073
58,0.41489,-0.17631,6,1.50509,10.645
59,-0.15649,-0.5207,6,-0.00891,10.7841
59,-0.15649,-0.5207,6,-0.00891,8.9521
59,-0.15649,-0.5207,6,-0.00891,9.6149
60,1.12706,-1.01878,4,-0.54314,9.8803
60,1.12706,-1.01878,4,-0.54314,10.3774
60,1.12706,-1.01878,4,-0.54314,9.195
61,0.14419,-0.34917,7,0.28002,10.8692
61,0.14419,-0.34917,7,0.28002,11.4868
61,0.14419,-0.34917,7,0.28002,10.7466
62,0.68502,0.07614,2,-2.22869,8.7731
62,0.68502,0.07614,2,-2.22869,7.4103
62,0.68502,0.07614,2,-2.22869,6.8809
63,1.76642,-1.271,4,1.41731,11.6532
63,1.76642,-1.271,4,1.41731,12.1496
63,1.76642,-1.271,4,1.41731,11.1756
64,-0.50013,-1.50109,3,-1.58438,9.2258
64,-0.50013,-1.50109,3,-1.58438,8.3746
64,-0.50013,-1.50109,3,-1.58438,7.3764
65,0.45299,0.29152,4,0.21261,10.4248
65,0.45299,0.29152,4,0.21261,9.4717
65,0.45299,0.29152,4,0.21261,9.199
66,-0.77638,-1.31481,6,0.41973,10.7291
66,-0.77638,-1.31481,6,0.41973,10.9026
66,-0.77638,-1.31481,6,0.41973,10.3283
67,-0.30198,-0.08978,8,0.12652,11.1107
67,-0.30198,-0.08978,8,0.12652,10.0592
67,-0.30198,-0.08978,8,0.12652,10.9495
68,-0.57471,1.27774,5,-0.02096,12.1854
68,-0.57471,1.27774,5,-0.02096,10.3074
68,-0.57471,1.27774,5,-0.02096,9.9088
69,-0.95735,-0.84781,4,2.1608,13.9481
69,-0.95735,-0.84781,4,2.1608,11.3323
69,-0.95735,-0.84781,4,2.1608,13.6801
70,-1.17308,-2.01479,8,-0.06348,12.7475
70,-1.17308,-2.01479,8,-0.06348,11.6675
70,-1.17308,-2.01479,8,-0.06348,10.7418
71,-0.45325,-0.4281,3,-0.83085,9.3991
71,-0.45325,-0.4281,3,-0.83085,9.3897
71,-0.45325,-0.4281,3,-0.83085,8.0356
72,0.31753,0.50073,8,-1.24391,7.953
72,0.31753,0.50073,8,-1.24391,9.8222
72,0.31753,0.50073,8,-1.24391,10.1627
73,0.23674,0.5385,5,-0.43533,10.8377
73,0.23674,0.5385,5,-0.43533,9.219
73,0.23674,0.5385,5,-0.43533,10.501
74,-0.10522,-0.06626,4,-0.08138,11.4609
74,-0.10522,-0.06626,4,-0.08138,10.4064
74,-0.10522,-0.06626,4,-0.08138,9.6253
75,0.79786,-0.39369,7,-0.9619,9.9458
75,0.79786,-0.39369,7,-0.9619,11.7267
75,0.79786,-0.39369,7,-0.9619,8.2401
76,0.08154,-0.55477,4,-1.12538,9.1063
76,0.08154,-0.55477,4,-1.12538,8.4856
76,0.08154,-0.55477,4,-1.12538,8.7891
77,-0.52227,-1.3681,4,0.32514,9.5012
77,-0.52227,-1.3681,4,0.32514,10.3721
77,-0.52227,-1.3681,4,0.32514,9.7496
78,0.19954,-1.6091,2,0.14581,11.0629
78,0.19954,-1.6091,2,0.14581,10.7685
78,0.19954,-1.6091,2,0.14581,10.4282
79,0.86966,-0.3444,3,-0.66035,9.2386
79,0.86966,-0.3444,3,-0.66035,9.2939
79,0.86966,-0.3444,3,-0.66035,9.9469
80,0.95835,-1.1339,7,1.05927,12.1701
80,0.95835,-1.1339,7,1.05927,12.5647
80,0.95835,-1.1339,7,1.05927,14.8459
81,0.0988,3.00797,7,0.56853,10.5247
81,0.0988,3.00797,7,0.56853,10.6249
81,0.0988,3.00797,7,0.56853,13.4013
82,0.73592,-0.02407,3,-0.90625,9.8293
82,0.73592,-0.02407,3,-0.90625,10.8428
82,0.73592,-0.02407,3,-0.90625,10.3434
83,0.44631,0.22005,4,-0.85678,9.273
83,0.44631,0.22005,4,-0.85678,8.4782
83,0.44631,0.22005,4,-0.85678,9.9027
84,0.18325,-0.52408,7,0.03962,10.4826
84,0.18325,-0.52408,7,0.03962,10.1738
84,0.18325,-0.52408,7,0.03962,11.9947
85,1.80027,-0.70512,5,-0.10429,8.5676
85,1.80027,-0.70512,5,-0.10429,9.4404
85,1.80027,-0.70512,5,-0.10429,10.4316
86,0.8539,1.76165,6,1.56854,12.7617
86,0.8539,1.76165,6,1.56854,11.6019
86,0.8539,1.76165,6,1.56854,13.2804
87,0.30666,-0.75864,4,-0.96452,9.0998
87,0.30666,-0.75864,4,-0.96452,8.5773
87,0.30666,-0.75864,4,-0.96452,9.6279
88,-1.13618,-0.55715,6,-0.06262,13.453
88,-1.13618,-0.55715,6,-0.06262,11.3815
88,-1.13618,-0.55715,6,-0.06262,12.1428
89,-0.00938,-0.75986,7,0.2458,11.3091
89,-0.00938,-0.75986,7,0.2458,10.1851
89,-0.00938,-0.75986,7,0.2458,10.0984
90,0.20886,0.70053,5,1.3086,11.0461
90,0.20886,0.70053,5,1.3086,11.0325
90,0.20886,0.70053,5,1.3086,11.7827
91,-0.95727,1.22283,6,0.43163,11.6033
91,-0.95727,1.22283,6,0.43163,11.2585
91,-0.95727,1.22283,6,0.43163,14.296
92,-1.4008,1.58182,4,-1.32156,9.9996
92,-1.4008,1.58182,4,-1.32156,10.3699
92,-1.4008,1.58182,4,-1.32156,8.7358
93,-0.11609,0.29317,7,-0.10157,11.019
93,-0.11609,0.29317,7,-0.10157,9.8448
93,-0.11609,0.29317,7,-0.10157,12.4464
94,0.17959,-0.47814,6,-1.79535,8.6929
94,0.17959,-0.47814,6,-1.79535,7.8107
94,0.17959,-0.47814,6,-1.79535,6.4901
95,0.33337,0.67788,4,0.48099,11.2568
95,0.33337,0.67788,4,0.48099,8.0597
95,0.33337,0.67788,4,0.48099,8.7759
96,-0.41815,-0.56577,7,-1.62917,9.0611
96,-0.41815,-0.56577,7,-1.62917,9.1004
96,-0.41815,-0.56577,7,-1.62917,7.1122
97,-1.76705,0.63329,7,1.93941,12.4738
97,-1.76705,0.63329,7,1.93941,12.7707
97,-1.76705,0.63329,7,1.93941,13.7936
98,1.41058,-0.65012,7,-0.50007,11.417
98,1.41058,-0.65012,7,-0.50007,10.5059
98,1.41058,-0.65012,7,-0.50007,10.3119
99,-1.39985,0.93977,8,0.15806,11.1642
99,-1.39985,0.93977,8,0.15806,10.8791
99,-1.39985,0.93977,8,0.15806,10.2034
100,-0.37701,0.06223,8,0.93913,10.2828
100,-0.37701,0.06223,8,0.93913,11.7492
100,-0.37701,0.06223,8,0.93913,10.3226
101,0.97409,1.33086,5,-0.48738,10.5722
101,0.97409,1.33086,5,-0.48738,11.1595
101,0.97409,1.33086,5,-0.48738,11.4499
102,-0.2731,0.48107,6,0.20597,11.0553
102,-0.2731,0.48107,6,0.20597,10.439
102,-0.2731,0.48107,6,0.20597,9.3352
103,0.90055,-0.97546,5,0.83047,10.8917
103,0.90055,-0.97546,5,0.83047,12.663
103,0.90055,-0.97546,5,0.83047,10.4909
104,-0.0453,-0.21086,4,-0.87305,8.9748
104,-0.0453,-0.21086,4,-0.87305,9.3545
104,-0.0453,-0.21086,4,-0.87305,9.6495
105,-0.66906,-0.07495,6,0.32087,11.1243
105,-0.66906,-0.07495,6,0.32087,11.5277
105,-0.66906,-0.07495,6,0.32087,11.8857
106,-1.99078,-0.30262,6,-1.63121,8.7623
106,-1.99078,-0.30262,6,-1.63121,9.5687
106,-1.99078,-0.30262,6,-1.63121,11.2649
107,-0.53142,0.66636,6,-0.60132,10.4767
107,-0.53142,0.66636,6,-0.60132,9.3387
107,-0.53142,0.66636,6,-0.60132,9.402
108,-1.94636,1.08632,8,-0.91364,9.6639
108,-1.94636,1.08632,8,-0.91364,10.781
108,-1.94636,1.08632,8,-0.91364,9.9903
109,-0.01522,-0.18273,6,0.60805,12.0821
109,-0.01522,-0.18273,6,0.60805,10.5267
109,-0.01522,-0.18273,6,0.60805,11.1136
110,-0.06223,-0.04849,8,-0.70623,10.0946
110,-0.06223,-0.04849,8,-0.70623,10.7035
110,-0.06223,-0.04849,8,-0.70623,10.1991
111,-0.13364,0.58779,6,0.32466,11.4604
111,-0.13364,0.58779,6,0.32466,11.4818
111,-0.13364,0.58779,6,0.32466,11.0035
112,1.52512,-0.48921,2,1.74874,11.979
112,1.52512,-0.48921,2,1.74874,12.4406
112,1.52512,-0.48921,2,1.74874,11.9686
113,-2.08906,-0.73417,2,1.1078,10.8195
113,-2.08906,-0.73417,2,1.1078,12.3143
113,-2.08906,-0.73417,2,1.1078,10.772
114,-0.28873,-0.34778,2,0.09754,10.5451
114,-0.28873,-0.34778,2,0.09754,10.479
114,-0.28873,-0.34778,2,0.09754,8.3216
115,-0.43669,0.31436,5,0.80634,11.5926
115,-0.43669,0.31436,5,0.80634,12.3292
115,-0.43669,0.31436,5,0.80634,10.1811
116,0.74786,2.03987,6,0.43925,10.8643
116,0.74786,2.03987,6,0.43925,9.0316
116,0.74786,2.03987,6,0.43925,10.3224
117,1.84433,0.18582,8,0.56284,11.5188
117,1.84433,0.18582,8,0.56284,11.4774
117,1.84433,0.18582,8,0.56284,10.6459
118,1.45011,-0.90335,3,-0.71608,10.2783
118,1.45011,-0.90335,3,-0.71608,9.7574
118,1.45011,-0.90335,3,-0.71608,9.1414
119,0.13671,-0.63389,7,-0.3828,11.0422
119,0.13671,-0.63389,7,-0.3828,9.7473
119,0.13671,-0.63389,7,-0.3828,9.005
120,-1.27359,0.15806,5,0.90336,11.0611
120,-1.27359,0.15806,5,0.90336,10.5323
120,-1.27359,0.15806,5,0.90336,11.1818
121,0.34747,-0.2855,2,-0.84758,10.2498
121,0.34747,-0.2855,2,-0.84758,9.983
121,0.34747,-0.2855,2,-0.84758,8.6251
122,0.88599,0.25534,3,-0.43215,9.2085
122,0.88599,0.25534,3,-0.43215,9.605
122,0.88599,0.25534,3,-0.43215,9.6537
123,-1.32228,-0.49532,2,-0.2499,9.4962
123,-1.32228,-0.49532,2,-0.2499,8.8347
123,-1.32228,-0.49532,2,-0.2499,9.5802
124,0.01898,-0.23351,5,0.54235,10.2174
124,0.01898,-0.23351,5,0.54235,10.3018
124,0.01898,-0.23351,5,0.54235,10.6124
125,0.99166,-0.06252,2,-0.47159,10.0617
125,0.99166,-0.06252,2,-0.47159,9.9394
125,0.99166,-0.06252,2,-0.47159,7.0532
126,-1.62669,1.4403,4,1.20505,11.6023
126,-1.62669,1.4403,4,1.20505,13.2525
126,-1.62669,1.4403,4,1.20505,10.805
127,1.88058,-0.90952,4,-1.34628,9.0275
127,1.88058,-0.90952,4,-1.34628,9.2935
127,1.88058,-0.90952,4,-1.34628,9.405
128,-1.30481,1.29685,6,0.12311,12.3409
128,-1.30481,1.29685,6,0.12311,10.3567
128,-1.30481,1.29685,6,0.12311,9.1097
129,-0.13519,1.09319,4,-1.5904,7.621
129,-0.13519,1.09319,4,-1.5904,8.6318
129,-0.13519,1.09319,4,-1.5904,8.8351
130,0.00586,-0.32397,3,-0.80885,9.682
130,0.00586,-0.32397,3,-0.80885,10.5386
130,0.00586,-0.32397,3,-0.80885,7.8394
131,-0.47017,1.09947,8,-0.13737,11.0066
131,-0.47017,1.09947,8,-0.13737,9.7537
131,-0.47017,1.09947,8,-0.13737,11.5758
132,-0.77367,-1.07426,7,0.74633,12.428
132,-0.77367,-1.07426,7,0.74633,11.5329
132,-0.77367,-1.07426,7,0.74633,11.971
133,-1.73308,1.7532,4,0.13004,12.0685
133,-1.73308,1.7532,4,0.13004,10.1261
133,-1.73308,1.7532,4,0.13004,11.7086
134,-0.13015,-1.02194,5,0.50727,11.7231
134,-0.13015,-1.02194,5,0.50727,8.9149
134,-0.13015,-1.02194,5,0.50727,10.8057
135,0.30072,0.03667,2,-2.77947,5.8043
135,0.30072,0.03667,2,-2.77947,7.7041
135,0.30072,0.03667,2,-2.77947,5.9737
136,0.89557,0.77653,8,-1.14878,9.4221
136,0.89557,0.77653,8,-1.14878,9.7903
136,0.89557,0.77653,8,-1.14878,10.2737
137,0.30817,-0.04856,3,0.88205,12.226
137,0.30817,-0.04856,3,0.88205,10.2271
137,0.30817,-0.04856,3,0.88205,10.8983
138,1.01025,-0.50508,5,0.45021,10.8228
138,1.01025,-0.50508,5,0.45021,10.5192
138,1.01025,-0.50508,5,0.45021,11.5121
139,1.07313,-0.79241,3,-1.02405,9.1161
139,1.07313,-0.79241,3,-1.02405,7.7219
139,1.07313,-0.79241,3,-1.02405,9.3544
140,-1.08143,0.08261,6,0.35546,10.6976
140,-1.08143,0.08261,6,0.35546,11.8568
140,-1.08143,0.08261,6,0.35546,11.3278
141,-1.4133,-0.14643,5,-1.13878,7.1472
141,-1.4133,-0.14643,5,-1.13878,8.5854
141,-1.4133,-0.14643,5,-1.13878,8.9728
142,1.53617,1.14676,2,0.1667,10.2813
142,1.53617,1.14676,2,0.1667,10.7055
142,1.53617,1.14676,2,0.1667,9.851
143,-0.10011,-0.18133,2,0.82173,9.9407
143,-0.10011,-0.18133,2,0.82173,10.4775
143,-0.10011,-0.18133,2,0.82173,12.3522
144,0.4046,-0.08998,5,-0.24808,10.5273
144,0.4046,-0.08998,5,-0.24808,7.9457
144,0.4046,-0.08998,5,-0.24808,9.1827
145,-0.40622,-1.26342,3,0.04211,8.6201
145,-0.40622,-1.26342,3,0.04211,9.3588
145,-0.40622,-1.26342,3,0.04211,10.1136
146,-1.43189,-0.00482,4,0.1587,10.4314
146,-1.43189,-0.00482,4,0.1587,11.2415
146,-1.43189,-0.00482,4,0.1587,9.688
147,-0.74746,-0.70494,6,-0.3521,10.9925
147,-0.74746,-0.70494,6,-0.3521,10.7728
147,-0.74746,-0.70494,6,-0.3521,10.0014
148,-3.1131,-0.55475,8,0.11906,13.0394
148,-3.1131,-0.55475,8,0.11906,10.175
148,-3.1131,-0.55475,8,0.11906,11.6881
149,0.82788,1.31423,2,1.7813,11.1683
149,0.82788,1.31423,2,1.7813,12.0451
149,0.82788,1.31423,2,1.7813,9.0045
150,-1.12613,0.06788,5,-1.2733,10.7709
150,-1.12613,0.06788,5,-1.2733,8.7804
150,-1.12613,0.06788,5,-1.2733,7.8105
151,0.17274,-0.4052,7,1.1044,13.1025
151,0.17274,-0.4052,7,1.1044,12.8046
151,0.17274,-0.4052,7,1.1044,11.1441
152,-0.50665,-1.03982,5,0.08478,10.4396
152,-0.50665,-1.03982,5,0.08478,11.7705
152,-0.50665,-1.03982,5,0.08478,9.5969
153,1.43424,-0.21655,3,1.16366,10.4658
153,1.43424,-0.21655,3,1.16366,11.1986
153,1.43424,-0.21655,3,1.16366,10.2848
154,0.57864,0.58171,4,-0.39664,9.7195
154,0.57864,0.58171,4,-0.39664,10.8081
154,0.57864,0.58171,4,-0.39664,8.9848
155,-1.21244,-0.38253,3,-0.33071,10.5302
155,-1.21244,-0.38253,3,-0.33071,10.1323
155,-1.21244,-0.38253,3,-0.33071,9.9027
156,-1.94683,-1.5646,8,-0.47383,10.6926
156,-1.94683,-1.5646,8,-0.47383,10.1881
156,-1.94683,-1.5646,8,-0.47383,11.4772
157,0.48449,-0.48063,5,1.24427,11.4983
157,0.48449,-0.48063,5,1.24427,11.2734
157,0.48449,-0.48063,5,1.24427,9.806
158,0.71684,-1.38006,5,-0.73155,10.2192
158,0.71684,-1.38006,5,-0.73155,8.6399
158,0.71684,-1.38006,5,-0.73155,8.6566
159,1.56213,-0.42869,2,-0.46685,10.784
159,1.56213,-0.42869,2,-0.46685,7.185
159,1.56213,-0.42869,2,-0.46685,9.5756
160,-0.33639,-1.15151,8,-0.10563,10.7266
160,-0.33639,-1.15151,8,-0.10563,11.4926
160,-0.33639,-1.15151,8,-0.10563,9.5089
161,-0.08314,-1.01453,4,0.36509,12.3065
161,-0.08314,-1.01453,4,0.36509,9.6594
161,-0.08314,-1.01453,4,0.36509,10.1291
162,-1.69129,0.47584,3,-2.31772,8.5042
162,-1.69129,0.47584,3,-2.31772,6.7873
162,-1.69129,0.47584,3,-2.31772,8.4049
163,0.99655,-1.97124,4,-1.24299,10.5397
163,0.99655,-1.97124,4,-1.24299,9.26
163,0.99655,-1.97124,4,-1.24299,8.4299
164,-0.4041,-0.79536,3,0.12141,11.2401
164,-0.4041,-0.79536,3,0.12141,10.0176
164,-0.4041,-0.79536,3,0.12141,9.2066
165,0.32168,-0.12512,7,0.5859,12.4608
165,0.32168,-0.12512,7,0.5859,11.22
165,0.32168,-0.12512,7,0.5859,9.8448
166,0.00895,1.80544,5,-1.17355,9.8472
166,0.00895,1.80544,5,-1.17355,8.9719
166,0.00895,1.80544,5,-1.17355,8.5322
167,0.58771,-0.33274,8,0.51313,11.5083
167,0.58771,-0.33274,8,0.51313,10.1617
167,0.58771,-0.33274,8,0.51313,10.6427
168,0.54677,0.84821,5,0.71156,11.317
168,0.54677,0.84821,5,0.71156,10.7986
168,0.54677,0.84821,5,0.71156,13.3932
169,0.68415,2.87982,8,-0.69187,10.8293
169,0.68415,2.87982,8,-0.69187,9.5401
169,0.68415,2.87982,8,-0.69187,11.5883
170,0.03565,1.14965,3,-2.51911,8.1011
170,0.03565,1.14965,3,-2.51911,6.8043
170,0.03565,1.14965,3,-2.51911,7.3827
171,0.09274,1.41063,6,-0.80584,8.2589
171,0.09274,1.41063,6,-0.80584,10.8525
171,0.09274,1.41063,6,-0.80584,9.2266
172,1.73652,-0.07111,6,-0.20055,9.3512
172,1.73652,-0.07111,6,-0.20055,10.303
172,1.73652,-0.07111,6,-0.20055,10.3494
173,0.57095,0.19914,3,1.20657,10.9502
173,0.57095,0.19914,3,1.20657,11.1172
173,0.57095,0.19914,3,1.20657,11.377
174,0.1241,0.13709,3,-0.58846,9.0118
174,0.1241,0.13709,3,-0.58846,11.2229
174,0.1241,0.13709,3,-0.58846,8.4496
175,-0.34258,-0.23411,6,1.27701,12.0093
175,-0.34258,-0.23411,6,1.27701,13.5638
175,-0.34258,-0.23411,6,1.27701,11.2109
176,0.60649,2.53408,8,0.60364,11.9522
176,0.60649,2.53408,8,0.60364,12.6299
176,0.60649,2.53408,8,0.60364,13.6865
177,-1.01321,0.40922,8,-0.50923,10.2985
177,-1.01321,0.40922,8,-0.50923,10.8323
177,-1.01321,0.40922,8,-0.50923,10.6598
178,-1.01598,-0.58068,8,0.74943,11.7576
178,-1.01598,-0.58068,8,0.74943,12.6842
178,-1.01598,-0.58068,8,0.74943,11.1568
179,-0.81356,-1.44578,6,-1.25962,8.886
179,-0.81356,-1.44578,6,-1.25962,9.1414
179,-0.81356,-1.44578,6,-1.25962,8.9857
180,1.35139,-1.56106,7,0.81543,12.2272
180,1.35139,-1.56106,7,0.81543,11.6697
180,1.35139,-1.56106,7,0.81543,12.1506
181,2.43512,0.58725,8,-0.93967,9.0823
181,2.43512,0.58725,8,-0.93967,9.679
181,2.43512,0.58725,8,-0.93967,11.2314
182,0.44192,2.08547,2,0.0672,11.7606
182,0.44192,2.08547,2,0.0672,9.5696
182,0.44192,2.08547,2,0.0672,10.8944
183,0.22818,0.20507,8,-0.48678,11.3398
183,0.22818,0.20507,8,-0.48678,9.2483
183,0.22818,0.20507,8,-0.48678,10.5467
184,-0.21003,-1.41334,6,0.08381,9.9571
